Day,Channel,Content Type,Topic,Hook,Core Copy or Script,CTA,Landing Path,Revenue Goal
1,Facebook/Instagram,Contractor Tip,Impact driver vs drill,"Most homeowners use the wrong tool for half their fasteners.","A drill is best for controlled drilling and lighter fastening. An impact driver is better when you need torque without fighting the tool. Keep both nearby and stop stripping screws.","See the contractor-tested tool picks.","/blog.html#drill-vs-impact-driver","Affiliate clicks"
2,YouTube Shorts,Short Script,Impact driver vs drill,"Drill or impact driver? Here is the 15-second answer.","Use a drill for holes and precise control. Use an impact driver for long screws, structural fasteners, and stubborn hardware. The best setup is both—not one trying to do everything.","Tool list in the site shop.","/shop.html?category=tools","Affiliate clicks"
3,Facebook/Instagram,Buying Guide,Welding helmet,"A cheap helmet can cost you visibility, comfort, and consistency.","Look for dependable auto-darkening, a clear viewing area, comfortable headgear, replaceable lenses, and enough adjustment for your process. Fit matters just as much as shade range.","Read the helmet checklist.","/blog.html#welding-helmet-checklist","Affiliate clicks"
4,YouTube Shorts,Short Script,Welding helmet,"Before you buy a welding helmet, check these three things.","First: optical clarity. Second: comfortable headgear. Third: easy-to-find replacement lenses. A helmet you hate wearing is not a bargain.","See the full checklist and shop picks.","/blog.html#welding-helmet-checklist","Affiliate clicks"
5,Facebook/Instagram,Contractor Tip,Deck fasteners,"The wrong fastener can shorten the life of a good deck.","Exterior projects need corrosion-resistant fasteners matched to treated lumber and the connector being used. Saving a few dollars on hardware can create rust streaks, loose boards, or structural callbacks.","Browse deck and fastening gear.","/shop.html?category=tools","Affiliate clicks"
6,YouTube Shorts,Short Script,Deck fasteners,"Do not put indoor screws in an outdoor deck.","Use exterior-rated, corrosion-resistant fasteners that are compatible with treated lumber. The coating and metal type matter more than the color of the box.","Contractor tool picks are linked on the site.","/shop.html?category=tools","Affiliate clicks"
7,Facebook/Instagram,Collectibles Tip,Card storage,"Your card can be valuable and still lose value in storage.","Sleeve it, top-load it, keep it dry, avoid direct sunlight, and store it upright without crushing pressure. Condition protection starts before grading.","See the card-storage guide.","/blog.html#card-storage-system","Affiliate clicks"
8,YouTube Shorts,Short Script,Card storage,"Three cheap things that protect expensive cards.","Penny sleeve. Correct-size top loader. Team bag. Then store upright in a dry box away from heat and sunlight.","Storage picks are on the site.","/shop.html?category=cards","Affiliate clicks"
9,Facebook/Instagram,Product Category,Socket sets,"A socket set is only useful when the sizes you need are actually there.","For jobsite and garage use, prioritize a complete range, readable markings, a solid ratchet, deep sockets, and an organized case. Missing common sizes turns a bargain into wasted time.","Shop contractor socket-set picks.","/shop.html?category=tools","Affiliate clicks"
10,YouTube Shorts,Short Script,Socket sets,"What makes a socket set jobsite-ready?","Readable sizes, deep and shallow sockets, a ratchet that does not skip, and a case that holds everything in place. Completeness beats a giant piece count full of filler.","See the tool category.","/shop.html?category=tools","Affiliate clicks"
